codigomunicipio,codigodepartamento,zika,poblacintotal,altitud,zikaEv1516100000h
17088,17,0,10807.20833333333,1632,0
17174,17,17,51377.16666666666,1378,33.088631
17272,17,1,10947.33333333333,1550,9.1346445
17380,17,22,77175.33333333333,178,28.506517
17388,17,0,5445.708333333334,1819,0
17433,17,6,23186.25,1871,25.877405
17442,17,34,9131.75,1096,372.32733
17444,17,22,14996.33333333333,1700,146.70253
17446,,0,,2825,
17486,17,1,30635.95833333333,2026,3.2641382
17495,17,3,6345.833333333333,,47.275116
17513,,0,11793.83333333334,1849,0
17524,17,24,17736.70833333333,1630,135.31259
17541,17,9,26351.25,1820,34.153976
17614,17,2,61947.20833333334,1813,3.2285554
17616,17,3,9522.333333333334,1750,31.504883
17653,17,0,16462.20833333333,1822,0
17662,17,1,25780.79166666667,1500,3.8788569
17665,17,1,7591.791666666667,,13.172121
17777,17,5,26826.58333333333,1225,18.638229
17867,17,10,8364.083333333334,675,119.55883
17873,17,1,56888,1850,1.7578399
17877,17,48,12452.20833333333,988,385.47379
18001,18,532,174012.2916666667,450,305.72552
18029,18,3,6431.083333333333,500,46.648438
18094,18,4,11573.5,500,34.561714
18150,18,4,33671.04166666666,245,11.879644
18205,18,1,11712.25,225,8.5380688
18247,18,57,22161.91666666667,480,257.19797
18256,18,43,20388.66666666667,470,210.90147
18410,18,18,23711.54166666667,300,75.912399
18460,18,5,11760.70833333333,300,42.514446
18479,18,7,3825.458333333334,500,182.9846
18592,18,8,33401.16666666666,500,23.95126
18610,18,62,14979.5,598,413.89899
18753,18,40,68654.83333333333,280,58.262466
18756,18,4,23916.5,200,16.724855
18785,18,2,9141.625,199,21.877949
18860,18,3,11660.41666666667,350,25.728069
19001,19,10,278901.75,1738,3.5854921
19022,19,0,21286,2312,0
19050,19,0,26856.375,700,0
19075,19,0,25705.45833333333,1630,0
19100,19,0,44659.20833333334,1770,0
19110,19,2,32554.875,1225,6.1434731
19130,19,1,37698.58333333334,1765,2.6526196
19137,19,1,33266.08333333334,1920,3.0060647
19142,19,1,17662.58333333333,1100,5.6616859
19212,19,5,32101.66666666667,1260,15.575516
19256,19,0,47605.70833333334,1750,0
19290,,0,6139.041666666672,1500,0
19300,19,0,19838.83333333333,,0
19318,19,0,29762.625,5,0
19355,19,2,31046.20833333333,1754,6.4420104
19364,19,0,17779.04166666667,2382,0
19392,19,0,10633.79166666667,1833,0
19397,19,1,45843.04166666666,2272,2.1813562
